gene_name,wormbase_id,uniprot_id,anesthesia_rationale,predicted_oligomer_state,structure_priority,AF_DB_url_if_exists,mammalian_homolog_PDB,pocket_compartment,mechanism_class,notes,verified_uniprot_id,verified_wormbase_seq_id,verified_protein_name,alphafold_pdb_path,alphafold_global_plddt,alphafold_high_conf_frac,uniprot_id_correction_status
UNC-63,WBGene00006788,Q17744,nAChR alpha subunit,heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/Q17744,7QL5,membrane_embedded,nachr_antagonism,,Q9N587,Y110A7A.3,Acetylcholine receptor subunit alpha-type unc-63,artifacts/structures/UNC-63_Q9N587.pdb,82.12,0.498,CORRECTED:Q17744->Q9N587
LEV-1,WBGene00002308,P30811,nAChR non-alpha subunit; levamisole receptor,heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/P30811,7QL5,membrane_embedded,nachr_antagonism,,Q27218,F09E8.7a,Acetylcholine receptor subunit beta-type lev-1,artifacts/structures/LEV-1_Q27218.pdb,81.06,0.448,CORRECTED:P30811->Q27218
TWK-18,WBGene00006626,P91173,K2P channel; gain-of-function cn110 confers halothane resistance (Sedensky 2001),homodimer,high,https://alphafold.ebi.ac.uk/entry/P91173,6CQ6,membrane_embedded,k2p_potentiation,Sedensky 2001 PMID 11756669; LOAD-BEARING anchor,Q18120,C24A3.6,TWiK family of potassium channels protein 18,artifacts/structures/TWK-18_Q18120.pdb,73.5,0.217,CORRECTED:P91173->Q18120
TWK-7,WBGene00006616,Q9N4T8,K2P channel; locomotion,homodimer,medium,https://alphafold.ebi.ac.uk/entry/Q9N4T8,6CQ6,membrane_embedded,k2p_potentiation,,P34410,F22B7.7,TWiK family of potassium channels protein 7,artifacts/structures/TWK-7_P34410.pdb,67.31,0.346,CORRECTED:Q9N4T8->P34410
TWK-29,WBGene00006637,Q9N4S8,K2P channel; expression in pharynx and motor neurons,homodimer,medium,https://alphafold.ebi.ac.uk/entry/Q9N4S8,6CQ6,membrane_embedded,k2p_potentiation,,Q564V7,F46A9.3b,Potassium channel domain-containing protein,artifacts/structures/TWK-29_Q564V7.pdb,69.25,0.170,CORRECTED:Q9N4S8->Q564V7
NCA-1,WBGene00003583,Q9N4D6,NALCN homolog; Na+ leak; central excitability driver,heterotetramer with UNC-79/UNC-80,high,https://alphafold.ebi.ac.uk/entry/Q9N4D6,7SX3,membrane_embedded,nca_block,Anchors with UNC-79/UNC-80 assembly,Q6Q762,,Sodium leak channel NALCN,,,,CORRECTED:Q9N4D6->Q6Q762
NCA-2,WBGene00003584,Q21413,Second NALCN homolog,heterotetramer with UNC-79/UNC-80,high,https://alphafold.ebi.ac.uk/entry/Q21413,7SX3,membrane_embedded,nca_block,,G5EDM1,C27F2.2a,Four domain-type voltage-gated ion channel alpha-1 subunit,artifacts/structures/NCA-2_G5EDM1.pdb,74.12,0.300,CORRECTED:Q21413->G5EDM1
UNC-79,WBGene00006788,Q9XV28,NCA auxiliary subunit; e1068 confers halothane resistance (Sedensky 1992),auxiliary in NCA complex,high,https://alphafold.ebi.ac.uk/entry/Q9XV28,n/a,membrane_embedded,nca_block,Sedensky 1992 PMID 1346264; LOAD-BEARING anchor; large IDR regions expected,P42173,C03C10.6,Uncoordinated protein 79,artifacts/structures/UNC-79_P42173.pdb,83.12,0.590,CORRECTED:Q9XV28->P42173
UNC-80,WBGene00006794,Q9N5E6,NCA auxiliary subunit; e1069 confers halothane resistance,auxiliary in NCA complex,high,https://alphafold.ebi.ac.uk/entry/Q9N5E6,n/a,membrane_embedded,nca_block,Large protein; IDR regions; AF confidence may be limited,Q9XV66,F25C8.3a,Protein unc-80,,,,CORRECTED:Q9N5E6->Q9XV66
NLF-1,WBGene00012009,O01567,NCA-localization factor,auxiliary,medium,https://alphafold.ebi.ac.uk/entry/O01567,n/a,membrane_embedded,nca_block,ER protein required for NCA localization,M4Q8W4,F55A4.2,NCA Localization Factor,artifacts/structures/NLF-1_M4Q8W4.pdb,67.88,0.199,CORRECTED:O01567->M4Q8W4
UNC-64,WBGene00006741,Q22298,Syntaxin-1A homolog; t-SNARE,monomer in 4-helix bundle with RIC-4/SNB-1,high,https://alphafold.ebi.ac.uk/entry/Q22298,1SFC,membrane_embedded,snare_cooperativity,,O16000,F56A8.7a,Syntaxin-1A homolog,artifacts/structures/UNC-64_O16000.pdb,83.88,0.471,CORRECTED:Q22298->O16000
RIC-4,WBGene00004351,Q9XU05,SNAP-25 homolog,t-SNARE in bundle,high,https://alphafold.ebi.ac.uk/entry/Q9XU05,1SFC,membrane_interfacial,snare_cooperativity,,A5PEW5,Y22F5A.3b,Synaptosomal-associated protein,artifacts/structures/RIC-4_A5PEW5.pdb,81.06,0.466,CORRECTED:Q9XU05->A5PEW5
SNB-1,WBGene00004907,Q21989,Synaptobrevin-2 / VAMP homolog; v-SNARE,v-SNARE in bundle,high,https://alphafold.ebi.ac.uk/entry/Q21989,1SFC,membrane_embedded,snare_cooperativity,,O02495,T10H9.4,Synaptobrevin-1,artifacts/structures/SNB-1_O02495.pdb,83.56,0.541,CORRECTED:Q21989->O02495
UNC-13,WBGene00006750,P27715,Munc13 priming factor; s69 hypomorph causes severe release deficit,monomer; C2 domains,high,https://alphafold.ebi.ac.uk/entry/P27715,4XII,aqueous_intracellular,snare_cooperativity,Richmond 1999 PMID 10570485; van Swinderen 1999 hypersensitivity anchor,P27715,ZK524.2a,Phorbol ester/diacylglycerol-binding protein unc-13,artifacts/structures/UNC-13_P27715.pdb,62.97,0.256,OK
UNC-18,WBGene00006753,O17444,Munc18 SM protein; syntaxin-binding,monomer,medium,https://alphafold.ebi.ac.uk/entry/O17444,4JEU,aqueous_intracellular,snare_cooperativity,,P34815,F27D9.1a,Acetylcholine regulator unc-18,artifacts/structures/UNC-18_P34815.pdb,90.5,0.802,CORRECTED:O17444->P34815
SNT-1,WBGene00004921,P34693,Synaptotagmin-1 homolog; Ca sensor for fusion,monomer; tandem C2 domains,high,https://alphafold.ebi.ac.uk/entry/P34693,3F03,membrane_interfacial,snare_cooperativity,Ca cooperativity sensor; van Swinderen 2004 anchor,P34693,F31E8.2a,Synaptotagmin-1,artifacts/structures/SNT-1_P34693.pdb,77.5,0.440,OK
GAS-1,WBGene00001520,Q21533,NDUFS2 homolog; Complex I 49 kDa core subunit; fc21 hypersensitive,membrane arm component of Complex I,high,https://alphafold.ebi.ac.uk/entry/Q21533,5LDX,membrane_embedded,complex_i_block,Morgan & Sedensky 1995 PMID 7549290; LOAD-BEARING anchor,Q93873,K09A9.5,"Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",artifacts/structures/GAS-1_Q93873.pdb,83.5,0.676,CORRECTED:Q21533->Q93873
NUO-1,WBGene00003834,Q9XVU2,Complex I core subunit (NDUFV1 homolog),part of Complex I assembly,medium,https://alphafold.ebi.ac.uk/entry/Q9XVU2,5LDX,membrane_embedded,complex_i_block,,Q17880,C09H10.3,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",artifacts/structures/NUO-1_Q17880.pdb,91.69,0.879,CORRECTED:Q9XVU2->Q17880
NUO-2,WBGene00003835,O45495,Complex I subunit,part of Complex I,medium,https://alphafold.ebi.ac.uk/entry/O45495,5LDX,membrane_embedded,complex_i_block,,Q86NC2,T10E9.7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",artifacts/structures/NUO-2_Q86NC2.pdb,83.62,0.687,CORRECTED:O45495->Q86NC2
NUO-3,WBGene00003836,Q9XVU0,Complex I subunit,part of Complex I,low,https://alphafold.ebi.ac.uk/entry/Q9XVU0,5LDX,membrane_embedded,complex_i_block,,O18236,Y57G11C.12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,artifacts/structures/NUO-3_O18236.pdb,87.06,0.679,CORRECTED:Q9XVU0->O18236
NUO-4,WBGene00003837,Q19792,Complex I subunit,part of Complex I,low,https://alphafold.ebi.ac.uk/entry/Q19792,5LDX,membrane_embedded,complex_i_block,,Q21233,K04G7.4a,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",artifacts/structures/NUO-4_Q21233.pdb,85.0,0.596,CORRECTED:Q19792->Q21233
MEV-1,WBGene00003225,Q22760,SDHC / Complex II subunit; control for Complex I specificity,part of Complex II,medium (control),https://alphafold.ebi.ac.uk/entry/Q22760,1ZOY,membrane_embedded,complex_ii_block,Control: anesthetic effects should be smaller than gas-1,P41956,T07C4.7a,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",artifacts/structures/MEV-1_P41956.pdb,88.81,0.753,CORRECTED:Q22760->P41956
